Date,Price
2008-01-02,3111
2008-01-03,3142
2008-01-04,3138
2008-01-07,3146
2008-01-08,3161.5
2008-01-09,3197.5
2008-01-11,3240
2008-01-14,3338
2008-01-15,3371
2008-01-16,3288.5
2008-01-17,3334.5
2008-01-18,3328.5
2008-01-21,3293.5
2008-01-22,3151
2008-01-24,3170.5
2008-01-25,3246
2008-01-28,3231
2008-01-29,3219.5
2008-01-30,3247
2008-02-01,3209.5
2008-02-04,3303
2008-02-05,3412.5
2008-02-06,3393.5
2008-02-11,3379.5
2008-02-12,3428
2008-02-13,3385
2008-02-14,3432.5
2008-02-15,3504
2008-02-18,3531
2008-02-19,3590.5
2008-02-20,3620.5
2008-02-21,3677
2008-02-22,3680
2008-02-25,3828.5
2008-02-26,3807.5
2008-02-27,3823
2008-02-28,3831.5
2008-02-29,3946
2008-03-03,4159
2008-03-04,4179.5
2008-03-05,3979.5
2008-03-06,4007.5
2008-03-07,3827
2008-03-10,3611.5
2008-03-11,3794
2008-03-12,3805.5
2008-03-13,3830
2008-03-14,3722.5
2008-03-17,3584.5
2008-03-18,3342.5
2008-03-19,3337
2008-03-21,3348
2008-03-24,3484.5
2008-03-25,3460
2008-03-26,3604
2008-03-27,3614.5
2008-03-28,3587
2008-03-31,3388.5
2008-04-01,3140
2008-04-02,3287.5
2008-04-03,3289.5
2008-04-04,3291
2008-04-07,3354.5
2008-04-08,3371.5
2008-04-09,3381
2008-04-10,3400
2008-04-11,3453
2008-04-14,3507.5
2008-04-15,3651.5
2008-04-16,3665
2008-04-17,3650
2008-04-18,3609.5
2008-04-21,3489
2008-04-22,3463.5
2008-04-23,3504
2008-04-24,3506.5
2008-04-25,3406.5
2008-04-28,3461
2008-04-29,3406
2008-04-30,3377.5
2008-05-02,3381
2008-05-05,3407
2008-05-06,3406.5
2008-05-07,3396
2008-05-08,3433
2008-05-09,3476
2008-05-12,3594
2008-05-13,3561.5
2008-05-14,3598.5
2008-05-15,3551.5
2008-05-16,3525.5
2008-05-20,3543
2008-05-21,3547.5
2008-05-22,3590
2008-05-23,3602
2008-05-26,3664
2008-05-27,3707.5
2008-05-28,3658
2008-05-29,3611.5
2008-05-30,3496.5
2008-06-02,3530
2008-06-03,3551.5
2008-06-04,3515.5
2008-06-05,3509
2008-06-06,3607.5
2008-06-09,3672
2008-06-10,3636
2008-06-11,3575.5
2008-06-12,3662
2008-06-13,3681
2008-06-16,3707.5
2008-06-17,3663.5
2008-06-18,3656.5
2008-06-19,3613.5
2008-06-20,3555
2008-06-23,3555.5
2008-06-24,3544.5
2008-06-25,3526.5
2008-06-26,3536.5
2008-06-27,3571.5
2008-06-30,3598.5
2008-07-01,3571.5
2008-07-02,3595.5
2008-07-03,3600.5
2008-07-04,3596
2008-07-07,3549
2008-07-08,3503
2008-07-09,3483.5
2008-07-10,3487.5
2008-07-11,3521.5
2008-07-14,3513.5
2008-07-15,3513.5
2008-07-16,3498.5
2008-07-17,3446
2008-07-18,3386.5
2008-07-21,3282.5
2008-07-22,3275.5
2008-07-23,3176.5
2008-07-24,3109
2008-07-25,3095.5
2008-07-28,3147
2008-07-29,3008.5
2008-07-30,2980.5
2008-07-31,3039
2008-08-01,2982.5
2008-08-04,2878
2008-08-05,2780
2008-08-06,2775.5
2008-08-07,2807.5
2008-08-08,2826.5
2008-08-11,2693.5
2008-08-12,2626
2008-08-13,2609.5
2008-08-14,2636
2008-08-15,2471
2008-08-18,2460.5
2008-08-19,2518.5
2008-08-20,2531
2008-08-21,2641.5
2008-08-22,2727.5
2008-08-25,2636.5
2008-08-26,2470.5
2008-08-27,2477.5
2008-08-28,2504.5
2008-08-29,2531.5
2008-09-02,2487.5
2008-09-03,2519.5
2008-09-04,2530
2008-09-05,2476.5
2008-09-08,2500.5
2008-09-09,2382.5
2008-09-10,2373.5
2008-09-11,2332.5
2008-09-12,2351
2008-09-15,2336.5
2008-09-16,2161
2008-09-17,2148.5
2008-09-18,2113
2008-09-19,2208
2008-09-22,2315.5
2008-09-23,2403
2008-09-24,2345.5
2008-09-25,2319
2008-09-26,2289.5
2008-09-29,2244
2008-10-03,2011.5
2008-10-06,1895.5
2008-10-07,1902.5
2008-10-08,1906.5
2008-10-09,1898
2008-10-10,1810.5
2008-10-13,1820
2008-10-14,1890.5
2008-10-15,1791
2008-10-16,1661.5
2008-10-17,1680
2008-10-20,1704.5
2008-10-21,1708.5
2008-10-22,1614
2008-10-23,1554.5
2008-10-24,1479
2008-10-28,1410
2008-10-29,1432
2008-10-30,1549
2008-10-31,1507
2008-11-03,1631.5
2008-11-04,1587.5
2008-11-05,1693.5
2008-11-06,1597
2008-11-07,1618
2008-11-10,1638.5
